GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
test jar,org.conetex.runtime.instrument.test.jar,MainJar,3,9,0,0,1,2,1,1,1,1
test jar,org.conetex.runtime.test.instrument.count.opcodes,CountOpcodesB,4,0,0,0,2,0,2,0,2,0
test jar,org.conetex.runtime.test.instrument.count.opcodes,CountOpcodesA,310,0,6,0,58,0,8,0,5,0
