GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
metrics-cost,org.conetex.runtime.instrument.metrics.cost,Transformer.CyclicCallException,4,0,0,0,2,0,1,0,1,0
metrics-cost,org.conetex.runtime.instrument.metrics.cost,Report,859,0,0,0,81,0,2,0,2,0
metrics-cost,org.conetex.runtime.instrument.metrics.cost,CountOpcodes,75,0,4,0,19,0,9,0,7,0
metrics-cost,org.conetex.runtime.instrument.metrics.cost,Visitor.new AdviceAdapter() {...},246,0,32,0,73,0,35,0,14,0
metrics-cost,org.conetex.runtime.instrument.metrics.cost,Visitor,279,0,0,0,90,0,3,0,3,0
metrics-cost,org.conetex.runtime.instrument.metrics.cost,Transformer,815,0,82,0,175,0,61,0,20,0
metrics-cost,org.conetex.runtime.instrument.metrics.cost,Counters,60,334,0,4,39,29,20,5,20,3
